"Name","Week_number","Week_ending","Cause","Deaths","Cumulative_deaths"
"West Sussex",32,2020-08-07,"COVID 19",0,640
"Worthing",32,2020-08-07,"COVID 19",0,79
"Adur",33,2020-08-14,"COVID 19",0,40
"Arun",33,2020-08-14,"COVID 19",0,68
"Chichester",33,2020-08-14,"COVID 19",0,82
"Crawley",33,2020-08-14,"COVID 19",0,79
"Horsham",33,2020-08-14,"COVID 19",1,124
"Mid Sussex",33,2020-08-14,"COVID 19",0,169
"West Sussex",33,2020-08-14,"COVID 19",1,641
"Worthing",33,2020-08-14,"COVID 19",0,79
"Adur",34,2020-08-21,"COVID 19",0,40
"Arun",34,2020-08-21,"COVID 19",0,68
"Chichester",34,2020-08-21,"COVID 19",0,82
"Crawley",34,2020-08-21,"COVID 19",0,79
"Horsham",34,2020-08-21,"COVID 19",0,124
"Mid Sussex",34,2020-08-21,"COVID 19",0,169
"West Sussex",34,2020-08-21,"COVID 19",0,641
"Worthing",34,2020-08-21,"COVID 19",0,79
"Adur",35,2020-08-28,"COVID 19",0,40
"Arun",35,2020-08-28,"COVID 19",0,68
"Chichester",35,2020-08-28,"COVID 19",0,82
"Crawley",35,2020-08-28,"COVID 19",0,79
"Horsham",35,2020-08-28,"COVID 19",0,124
"Mid Sussex",35,2020-08-28,"COVID 19",0,169
"West Sussex",35,2020-08-28,"COVID 19",1,642
"Worthing",35,2020-08-28,"COVID 19",1,80
"Adur",36,2020-09-04,"COVID 19",0,40
"Arun",36,2020-09-04,"COVID 19",0,68
"Chichester",36,2020-09-04,"COVID 19",0,82
"Crawley",36,2020-09-04,"COVID 19",0,79
"Horsham",36,2020-09-04,"COVID 19",0,124
"Mid Sussex",36,2020-09-04,"COVID 19",0,169
"West Sussex",36,2020-09-04,"COVID 19",0,642
"Worthing",36,2020-09-04,"COVID 19",0,80
"Adur",37,2020-09-11,"COVID 19",0,40
"Arun",37,2020-09-11,"COVID 19",0,68
"Chichester",37,2020-09-11,"COVID 19",0,82
"Crawley",37,2020-09-11,"COVID 19",0,79
"Horsham",37,2020-09-11,"COVID 19",0,124
"Mid Sussex",37,2020-09-11,"COVID 19",0,169
"West Sussex",37,2020-09-11,"COVID 19",0,642
"Worthing",37,2020-09-11,"COVID 19",0,80
